ENSEMBL_GENE_ID,baseMean__NAFL+NASHF0vsCTRL,log2FoldChange__NAFL+NASHF0vsCTRL,pvalue__NAFL+NASHF0vsCTRL,padj__NAFL+NASHF0vsCTRL,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000154485,8.386704424,-0.361619653,0.232923731,NA,6,-0.160662817,0.235042442,0.5646711,6,-0.102806695,0.586616384,0.741812804,MMP21
ENSG00000154493,2.736073494,1.069960134,0.162681542,NA,2,-0.131444328,0.686098105,0.880228681,3,0.620169049,0.110716786,0.258733393,C10orf90
ENSG00000154511,335.9525819,-0.134712692,0.197407562,0.483391038,268,0.120871903,2.38E-02,1.92E-01,277,0.223699333,0.019568276,0.0803835,DIPK1A
ENSG00000154518,1494.702935,0.304339137,3.36E-02,1.91E-01,1126,-0.058851373,3.31E-01,6.56E-01,1202,0.161209954,1.04E-01,2.49E-01,ATP5MC3
ENSG00000154548,59.9064547,0.324057567,0.047133175,0.229439036,38,-0.06308369,3.69E-01,0.686394109,40,-0.184528403,0.114213193,0.264118977,SRSF12
ENSG00000154553,61.55601241,0.05790277,0.847937954,0.938376672,51,0.475278012,0.000347208,0.024880865,59,0.967880455,2.67E-07,2.76E-05,PDLIM3
ENSG00000154556,3847.664928,-0.24657298,0.036296634,0.198545691,2762,-0.024531371,0.599196461,0.836277303,2739,-0.167683413,0.03252748,0.113786166,SORBS2
ENSG00000154582,623.966828,0.057120992,0.568637716,0.796550344,379,0.024745661,0.550261497,0.809689441,430,0.165380746,0.063517387,0.179417429,ELOC
ENSG00000154589,33.98919049,0.18989954,0.555473963,0.788516014,26,0.116325657,0.384067227,0.697865284,31,0.533328872,0.014995161,0.067496022,LY96
ENSG00000154620,9.358520504,1.737597383,0.316346916,NA,9,-0.374370172,0.192882647,0.51822914,7,-0.614450119,0.235391162,0.419015846,TMSB4Y
ENSG00000154639,1480.140905,-0.305922048,0.002550323,0.043743055,975,-0.060481578,0.186656063,0.511027881,1010,-0.106756912,0.078752653,0.207222092,CXADR
ENSG00000154640,122.1178534,-0.23867205,1.14E-01,3.69E-01,90,-0.004686622,0.937846234,0.979166103,91,-0.004571749,0.95264191,0.975736588,BTG3
ENSG00000154642,205.8178721,-0.126696182,0.353458769,0.641244615,150,0.058595324,0.200551567,0.52601372,152,-0.013250161,0.866961647,0.929669675,C21orf91
ENSG00000154645,4.701937888,0.485169131,0.345462456,NA,2,-0.506020891,0.024725921,0.195583523,3,-0.308328146,0.325921656,0.515023617,CHODL
ENSG00000154646,9.097756333,-0.073402401,0.808839942,NA,5,-0.18743842,0.178853487,0.500326115,5,-0.489915651,0.024837138,0.094539578,TMPRSS15
ENSG00000154654,730.0258957,0.731301128,0.16221358,0.437420949,486,-0.33847349,0.125586487,0.426185,400,-1.184954984,0.000198241,0.003527402,NCAM2
