ENSEMBL_GENE_ID,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000169684,4,0.109072,0.658358367,0.9481914,4,-0.261507078,0.32625627,0.608138049,CHRNA5
ENSG00000169688,2,-0.915030553,0.17835189,0.778178907,2,0.144087865,0.848512489,0.941787527,MT1B
ENSG00000169689,592,0.008540534,0.937345169,0.991127782,604,-0.004133527,0.970685779,0.988628197,CENPX
ENSG00000169692,2132,-0.055575123,0.660052813,0.948866035,1883,-0.329308144,0.011046786,0.074503115,AGPAT2
ENSG00000169696,440,-0.022181914,0.87028719,0.983185169,455,-0.14205804,3.58E-01,0.638320382,ASPSCR1
ENSG00000169710,6095,0.09210704,0.62049825,0.94084682,4993,-0.35440479,0.083117062,0.276664587,FASN
ENSG00000169714,5961,-0.101924463,0.011768774,0.382987358,5948,-0.178104315,0.002340757,0.024522931,CNBP
ENSG00000169715,4628,-0.442410783,0.014105545,0.408321356,4976,-0.416909133,0.049451617,0.199531956,MT1E
ENSG00000169718,985,-0.088964845,0.238237118,0.816598205,978,-0.173791312,0.047351669,0.193644317,DUS1L
ENSG00000169727,1049,-0.079434387,0.30634082,0.850725722,1044,-0.150410055,0.059079089,0.223103082,GPS1
ENSG00000169733,676,-0.156159479,0.152761858,0.746256633,638,-0.36146073,0.002886491,0.028566258,RFNG
ENSG00000169738,19342,-0.159402887,0.173437715,0.770330283,18485,-0.354793503,0.00399297,0.035951851,DCXR
ENSG00000169740,394,0.020194653,0.768846801,0.968135043,405,0.023286886,0.763269109,0.903300535,ZNF32
ENSG00000169744,336,-0.003654248,0.970551939,0.994779855,334,0.040159292,0.689282881,0.867420563,LDB2
ENSG00000169750,166,0.035863648,0.743722777,0.961040277,158,-0.109134371,0.347303055,0.628909431,RAC3
ENSG00000169752,51,0.086832238,0.673350777,0.951354234,52,0.006005603,0.981289255,0.992561206,NRG4
ENSG00000169756,313,0.131607048,1.40E-01,7.35E-01,305,0.075055513,4.94E-01,7.47E-01,LIMS1
ENSG00000169758,NA,NA,NA,NA,1,1.648206158,6.07E-03,NA,TMEM266
ENSG00000169762,1004,0.017074769,7.98E-01,9.73E-01,1016,-0.043790529,0.539806985,0.77949609,TAPT1
ENSG00000169764,16268,0.017136957,8.69E-01,0.983185169,15976,-0.008316774,0.951777639,0.980940359,UGP2
ENSG00000169783,8,0.01641483,9.23E-01,9.89E-01,9,0.293152566,0.120833654,0.346606913,LINGO1
ENSG00000169813,2624,0.013215219,7.66E-01,9.68E-01,2599,0.013728505,8.17E-01,9.29E-01,HNRNPF
ENSG00000169814,1812,-0.169173763,0.009248736,0.35669409,1736,-0.225496741,0.010291931,0.071024283,BTD
ENSG00000169826,226,0.00187779,9.80E-01,0.996798572,233,0.083375144,0.320520634,0.602274741,CSGALNACT2
ENSG00000169851,20,0.04516118,0.813245735,0.975045287,18,-0.032559228,0.88190042,0.956091437,PCDH7
ENSG00000169855,114,0.100441917,0.451982773,0.902725583,134,0.541696028,0.000539597,0.008208423,ROBO1
ENSG00000169856,165,-0.093256126,0.391048178,0.884852655,152,-0.173266881,0.183014586,0.446655585,ONECUT1
