SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
Pdhx,6.631938163,0.179576676,0.003369125,0.023359818,6.631938163,-0.067699663,0.259490444,0.404711929
Pdia2,4.489948098,0.056667256,0.184499093,0.384628767,4.489948098,-0.067997659,0.113044226,0.228795437
Pdia3,9.821719766,-0.322683941,6.75E-06,0.000173214,9.821719766,-0.134900847,0.048233055,0.125058716
Pdia4,9.619571209,-0.326518366,0.000109108,0.001656038,9.619571209,-0.296256912,0.000416387,0.002499373
Pdia5,7.900845034,-0.411609022,4.96E-06,0.000134251,7.900845034,-0.302345453,0.000577849,0.003359628
Pdia6,9.382876713,-0.340797253,6.95E-06,0.000177636,9.382876713,-0.207129392,0.004637889,0.020028763
Pdik1l,6.246322276,0.060741475,0.159329717,0.350918654,6.246322276,-0.065970767,0.127757638,0.249432192
Pdilt,6.201163148,-0.269567178,0.006747045,0.039052127,6.201163148,-0.211422634,0.032558906,0.09388055
Pdk1,6.967433452,0.202111296,0.012187541,0.059980868,6.967433452,-0.4103181,1.48E-06,1.50E-05
Pdk2,8.767639688,0.231465503,0.000132393,0.001930825,8.767639688,-0.139280406,0.018310904,0.060604963
Pdk3,3.163296544,0.053000218,0.130083672,0.306984448,3.163296544,0.263065486,4.78E-11,1.03E-09
Pdk4,7.205477437,0.260350839,0.261133217,0.478802367,7.205477437,0.904547128,0.000181356,0.001183841
Pdlim1,6.79463824,-0.033050779,0.591442023,0.767565386,6.79463824,0.232783432,0.000289847,0.001806665
Pdlim2,5.584162678,0.030788262,0.419341362,0.633811464,5.584162678,0.062251262,0.105470501,0.218291208
Pdlim3,4.842563692,-0.093353993,0.153056763,0.342510327,4.842563692,0.106863187,0.103448311,0.215343378
Pdlim4,5.670542283,0.03910037,0.386933587,0.604095793,5.670542283,0.075661372,0.096972118,0.206129487
Pdlim5,7.521096259,-0.088645433,0.126506565,0.30123435,7.521096259,-0.037133582,0.520735152,0.646837639
Pdlim7,6.222866209,0.065602699,0.054542244,0.17245448,6.222866209,0.070195832,0.040491418,0.110359727
